,METRIC,PRODUCT,y,ds,y_total,Contribution,Key
0,MOTRX,ACTEMRA,0.0,2023-01-06,353211.0,0.0,Others
1,MOTRX,ACTEMRA,0.0,2023-01-13,411576.0,0.0,Others
2,MOTRX,ACTEMRA,0.0,2023-01-20,383889.0,0.0,Others
3,MOTRX,ACTEMRA,0.0,2023-01-27,389171.0,0.0,Others
4,MOTRX,ACTEMRA,0.0,2023-02-03,375365.0,0.0,Others
5,MOTRX,ACTEMRA,0.0,2023-02-10,422975.0,0.0,Others
6,MOTRX,ACTEMRA,0.0,2023-02-17,396175.0,0.0,Others
7,MOTRX,ACTEMRA,0.0,2023-02-24,380098.0,0.0,Others
8,MOTRX,ACTEMRA,0.0,2023-03-03,422189.0,0.0,Others
9,MOTRX,ACTEMRA,0.0,2023-03-10,410314.0,0.0,Others
10,MOTRX,ACTEMRA,0.0,2023-03-17,405943.0,0.0,Others
11,MOTRX,ACTEMRA,0.0,2023-03-24,405660.0,0.0,Others
12,MOTRX,ACTEMRA,0.0,2023-03-31,411993.0,0.0,Others
13,MOTRX,ACTEMRA,0.0,2023-04-07,408075.0,0.0,Others
14,MOTRX,ACTEMRA,0.0,2023-04-14,411568.0,0.0,Others
15,MOTRX,ACTEMRA,0.0,2023-04-21,409303.0,0.0,Others
16,MOTRX,ACTEMRA,0.0,2023-04-28,421097.0,0.0,Others
17,MOTRX,ACTEMRA,0.0,2023-05-05,429126.0,0.0,Others
18,MOTRX,ACTEMRA,0.0,2023-05-12,422934.0,0.0,Others
19,MOTRX,ACTEMRA,0.0,2023-05-19,421631.0,0.0,Others
20,MOTRX,ACTEMRA,0.0,2023-05-26,442642.0,0.0,Others
21,MOTRX,ACTEMRA,0.0,2023-06-02,378989.0,0.0,Others
22,MOTRX,ACTEMRA,0.0,2023-06-09,443861.0,0.0,Others
23,MOTRX,ACTEMRA,0.0,2023-06-16,423895.0,0.0,Others
24,MOTRX,ACTEMRA,0.0,2023-06-23,417794.0,0.0,Others
25,MOTRX,ACTEMRA,0.0,2023-06-30,454039.0,0.0,Others
26,MOTRX,ACTEMRA,0.0,2023-07-07,365711.0,0.0,Others
27,MOTRX,ACTEMRA,0.0,2023-07-14,437561.0,0.0,Others
28,MOTRX,ACTEMRA,0.0,2023-07-21,441236.0,0.0,Others
29,MOTRX,ACTEMRA,0.0,2023-07-28,439495.0,0.0,Others
30,MOTRX,ACTEMRA,0.0,2023-08-04,427894.0,0.0,Others
31,MOTRX,ACTEMRA,0.0,2023-08-11,431493.0,0.0,Others
32,MOTRX,ACTEMRA,0.0,2023-08-18,421008.0,0.0,Others
33,MOTRX,ACTEMRA,0.0,2023-08-25,434762.0,0.0,Others
34,MOTRX,ACTEMRA,0.0,2023-09-01,436752.0,0.0,Others
35,MOTRX,ACTEMRA,0.0,2023-09-08,387258.0,0.0,Others
36,MOTRX,ACTEMRA,0.0,2023-09-15,443434.0,0.0,Others
37,MOTRX,ACTEMRA,0.0,2023-09-22,440829.0,0.0,Others
38,MOTRX,ACTEMRA,0.0,2023-09-29,432855.0,0.0,Others
39,MOTRX,ACTEMRA,0.0,2023-10-06,447370.0,0.0,Others
40,MOTRX,ACTEMRA,0.0,2023-10-13,437032.0,0.0,Others
41,MOTRX,ACTEMRA,0.0,2023-10-20,439351.0,0.0,Others
42,MOTRX,ACTEMRA,0.0,2023-10-27,442507.0,0.0,Others
43,MOTRX,ACTEMRA,0.0,2023-11-03,434220.0,0.0,Others
44,MOTRX,ACTEMRA,0.0,2023-11-10,445011.0,0.0,Others
45,MOTRX,ACTEMRA,0.0,2023-11-17,461265.0,0.0,Others
46,MOTRX,ACTEMRA,0.0,2023-11-24,333272.0,0.0,Others
47,MOTRX,ACTEMRA,0.0,2023-12-01,503893.0,0.0,Others
48,MOTRX,ACTEMRA,0.0,2023-12-08,468886.0,0.0,Others
49,MOTRX,ACTEMRA,0.0,2023-12-15,454662.0,0.0,Others
50,MOTRX,ACTEMRA,0.0,2023-12-22,458225.0,0.0,Others
51,MOTRX,ACTEMRA,0.0,2023-12-29,392406.0,0.0,Others
52,MOTRX,ACTEMRA,0.0,2024-01-05,379147.0,0.0,Others
53,MOTRX,ACTEMRA,0.0,2024-01-12,441866.0,0.0,Others
54,MOTRX,ACTEMRA,0.0,2024-01-19,359151.0,0.0,Others
55,MOTRX,ACTEMRA,0.0,2024-01-26,440552.0,0.0,Others
56,MOTRX,ACTEMRA,0.0,2024-02-02,442152.0,0.0,Others
57,MOTRX,ACTEMRA IV,0.0,2023-01-06,353211.0,0.0,Others
58,MOTRX,ACTEMRA IV,0.0,2023-01-13,411576.0,0.0,Others
59,MOTRX,ACTEMRA IV,0.0,2023-01-20,383889.0,0.0,Others
60,MOTRX,ACTEMRA IV,0.0,2023-01-27,389171.0,0.0,Others
61,MOTRX,ACTEMRA IV,0.0,2023-02-03,375365.0,0.0,Others
62,MOTRX,ACTEMRA IV,0.0,2023-02-10,422975.0,0.0,Others
63,MOTRX,ACTEMRA IV,0.0,2023-02-17,396175.0,0.0,Others
64,MOTRX,ACTEMRA IV,0.0,2023-02-24,380098.0,0.0,Others
65,MOTRX,ACTEMRA IV,0.0,2023-03-03,422189.0,0.0,Others
66,MOTRX,ACTEMRA IV,0.0,2023-03-10,410314.0,0.0,Others
67,MOTRX,ACTEMRA IV,0.0,2023-03-17,405943.0,0.0,Others
68,MOTRX,ACTEMRA IV,0.0,2023-03-24,405660.0,0.0,Others
69,MOTRX,ACTEMRA IV,0.0,2023-03-31,411993.0,0.0,Others
70,MOTRX,ACTEMRA IV,0.0,2023-04-07,408075.0,0.0,Others
71,MOTRX,ACTEMRA IV,0.0,2023-04-14,411568.0,0.0,Others
72,MOTRX,ACTEMRA IV,0.0,2023-04-21,409303.0,0.0,Others
73,MOTRX,ACTEMRA IV,0.0,2023-04-28,421097.0,0.0,Others
74,MOTRX,ACTEMRA IV,0.0,2023-05-05,429126.0,0.0,Others
75,MOTRX,ACTEMRA IV,0.0,2023-05-12,422934.0,0.0,Others
76,MOTRX,ACTEMRA IV,0.0,2023-05-19,421631.0,0.0,Others
77,MOTRX,ACTEMRA IV,0.0,2023-05-26,442642.0,0.0,Others
78,MOTRX,ACTEMRA IV,0.0,2023-06-02,378989.0,0.0,Others
79,MOTRX,ACTEMRA IV,0.0,2023-06-09,443861.0,0.0,Others
80,MOTRX,ACTEMRA IV,0.0,2023-06-16,423895.0,0.0,Others
81,MOTRX,ACTEMRA IV,0.0,2023-06-23,417794.0,0.0,Others
82,MOTRX,ACTEMRA IV,0.0,2023-06-30,454039.0,0.0,Others
83,MOTRX,ACTEMRA IV,0.0,2023-07-07,365711.0,0.0,Others
84,MOTRX,ACTEMRA IV,0.0,2023-07-14,437561.0,0.0,Others
85,MOTRX,ACTEMRA IV,0.0,2023-07-21,441236.0,0.0,Others
86,MOTRX,ACTEMRA IV,0.0,2023-07-28,439495.0,0.0,Others
87,MOTRX,ACTEMRA IV,0.0,2023-08-04,427894.0,0.0,Others
88,MOTRX,ACTEMRA IV,0.0,2023-08-11,431493.0,0.0,Others
89,MOTRX,ACTEMRA IV,0.0,2023-08-18,421008.0,0.0,Others
90,MOTRX,ACTEMRA IV,0.0,2023-08-25,434762.0,0.0,Others
91,MOTRX,ACTEMRA IV,0.0,2023-09-01,436752.0,0.0,Others
92,MOTRX,ACTEMRA IV,0.0,2023-09-08,387258.0,0.0,Others
93,MOTRX,ACTEMRA IV,0.0,2023-09-15,443434.0,0.0,Others
94,MOTRX,ACTEMRA IV,0.0,2023-09-22,440829.0,0.0,Others
95,MOTRX,ACTEMRA IV,0.0,2023-09-29,432855.0,0.0,Others
96,MOTRX,ACTEMRA IV,0.0,2023-10-06,447370.0,0.0,Others
97,MOTRX,ACTEMRA IV,0.0,2023-10-13,437032.0,0.0,Others
98,MOTRX,ACTEMRA IV,0.0,2023-10-20,439351.0,0.0,Others
99,MOTRX,ACTEMRA IV,0.0,2023-10-27,442507.0,0.0,Others
100,MOTRX,ACTEMRA IV,0.0,2023-11-03,434220.0,0.0,Others
101,MOTRX,ACTEMRA IV,0.0,2023-11-10,445011.0,0.0,Others
102,MOTRX,ACTEMRA IV,0.0,2023-11-17,461265.0,0.0,Others
103,MOTRX,ACTEMRA IV,0.0,2023-11-24,333272.0,0.0,Others
104,MOTRX,ACTEMRA IV,0.0,2023-12-01,503893.0,0.0,Others
105,MOTRX,ACTEMRA IV,0.0,2023-12-08,468886.0,0.0,Others
106,MOTRX,ACTEMRA IV,0.0,2023-12-15,454662.0,0.0,Others
107,MOTRX,ACTEMRA IV,0.0,2023-12-22,458225.0,0.0,Others
108,MOTRX,ACTEMRA IV,0.0,2023-12-29,392406.0,0.0,Others
109,MOTRX,ACTEMRA IV,0.0,2024-01-05,379147.0,0.0,Others
110,MOTRX,ACTEMRA IV,0.0,2024-01-12,441866.0,0.0,Others
111,MOTRX,ACTEMRA IV,0.0,2024-01-19,359151.0,0.0,Others
112,MOTRX,ACTEMRA IV,0.0,2024-01-26,440552.0,0.0,Others
113,MOTRX,ACTEMRA IV,0.0,2024-02-02,442152.0,0.0,Others
114,MOTRX,ACTEMRA SC,0.0,2023-01-06,353211.0,0.0,Others
115,MOTRX,ACTEMRA SC,0.0,2023-01-13,411576.0,0.0,Others
116,MOTRX,ACTEMRA SC,0.0,2023-01-20,383889.0,0.0,Others
117,MOTRX,ACTEMRA SC,0.0,2023-01-27,389171.0,0.0,Others
118,MOTRX,ACTEMRA SC,0.0,2023-02-03,375365.0,0.0,Others
119,MOTRX,ACTEMRA SC,0.0,2023-02-10,422975.0,0.0,Others
120,MOTRX,ACTEMRA SC,0.0,2023-02-17,396175.0,0.0,Others
121,MOTRX,ACTEMRA SC,0.0,2023-02-24,380098.0,0.0,Others
122,MOTRX,ACTEMRA SC,0.0,2023-03-03,422189.0,0.0,Others
123,MOTRX,ACTEMRA SC,0.0,2023-03-10,410314.0,0.0,Others
124,MOTRX,ACTEMRA SC,0.0,2023-03-17,405943.0,0.0,Others
125,MOTRX,ACTEMRA SC,0.0,2023-03-24,405660.0,0.0,Others
126,MOTRX,ACTEMRA SC,0.0,2023-03-31,411993.0,0.0,Others
127,MOTRX,ACTEMRA SC,0.0,2023-04-07,408075.0,0.0,Others
128,MOTRX,ACTEMRA SC,0.0,2023-04-14,411568.0,0.0,Others
129,MOTRX,ACTEMRA SC,0.0,2023-04-21,409303.0,0.0,Others
130,MOTRX,ACTEMRA SC,0.0,2023-04-28,421097.0,0.0,Others
131,MOTRX,ACTEMRA SC,0.0,2023-05-05,429126.0,0.0,Others
132,MOTRX,ACTEMRA SC,0.0,2023-05-12,422934.0,0.0,Others
133,MOTRX,ACTEMRA SC,0.0,2023-05-19,421631.0,0.0,Others
134,MOTRX,ACTEMRA SC,0.0,2023-05-26,442642.0,0.0,Others
135,MOTRX,ACTEMRA SC,0.0,2023-06-02,378989.0,0.0,Others
136,MOTRX,ACTEMRA SC,0.0,2023-06-09,443861.0,0.0,Others
137,MOTRX,ACTEMRA SC,0.0,2023-06-16,423895.0,0.0,Others
138,MOTRX,ACTEMRA SC,0.0,2023-06-23,417794.0,0.0,Others
139,MOTRX,ACTEMRA SC,0.0,2023-06-30,454039.0,0.0,Others
140,MOTRX,ACTEMRA SC,0.0,2023-07-07,365711.0,0.0,Others
141,MOTRX,ACTEMRA SC,0.0,2023-07-14,437561.0,0.0,Others
142,MOTRX,ACTEMRA SC,0.0,2023-07-21,441236.0,0.0,Others
143,MOTRX,ACTEMRA SC,0.0,2023-07-28,439495.0,0.0,Others
144,MOTRX,ACTEMRA SC,0.0,2023-08-04,427894.0,0.0,Others
145,MOTRX,ACTEMRA SC,0.0,2023-08-11,431493.0,0.0,Others
146,MOTRX,ACTEMRA SC,0.0,2023-08-18,421008.0,0.0,Others
